id_2019,id_2020,name_2019,name_2020,change,population,areal,land,poplandratio,countyid_2019,county_2019,countyid_2020,county_2020
1841,1841,Fauske - Fuosko,Fauske - Fuosko,null,9760,1197,1107,9,18,NORDLAND,18,NORDLAND
1265,4633,Fedje,Fedje,null,562,9,9,63,12,HORDALAND,46,VESTLAND
0227,3030,Fet,Lillestrøm,9,11842,176,138,86,2,AKERSHUS,30,VIKEN
1141,1103,Finnøy,Stavanger,18,3150,104,103,31,11,ROGALAND,11,ROGALAND
1222,4615,Fitjar,Fitjar,null,3201,142,134,24,12,HORDALAND,46,VESTLAND
1429,4646,Fjaler,Fjaler,null,2770,417,390,7,14,SOGN OG FJORDANE,46,VESTLAND
1246,4626,Fjell,Øygarden,20,26166,148,141,185,12,HORDALAND,46,VESTLAND
1859,1859,Flakstad,Flakstad,null,1292,178,169,8,18,NORDLAND,18,NORDLAND
5049,5049,Flatanger,Flatanger,null,1103,459,434,3,50,TRØNDELAG,50,TRØNDELAG
1004,4207,Flekkefjord,Flekkefjord,null,9066,544,482,19,10,VEST-AGDER,42,AGDER
0631,3050,Flesberg,Flesberg,null,2694,562,538,5,6,BUSKERUD,30,VIKEN
1401,4602,Flora,Kinn,26,11852,693,647,18,14,SOGN OG FJORDANE,46,VESTLAND
0615,3039,Flå,Flå,null,1052,704,671,2,6,BUSKERUD,30,VIKEN
0439,3429,Folldal,Folldal,null,1577,1277,1260,1,4,HEDMARK,34,INNLANDET
1129,1108,Forsand,Sandnes,19,1193,780,699,2,11,ROGALAND,11,ROGALAND
5048,5007,Fosnes,Namsos,41,605,544,473,1,50,TRØNDELAG,50,TRØNDELAG
0106,3004,Fredrikstad,Fredrikstad,null,81772,293,284,288,1,ØSTFOLD,30,VIKEN
0215,3022,Frogn,Frogn,null,15761,86,85,186,2,AKERSHUS,30,VIKEN
0919,4214,Froland,Froland,null,5845,645,601,10,9,AUST-AGDER,42,AGDER
5036,5036,Frosta,Frosta,null,2632,76,74,35,50,TRØNDELAG,50,TRØNDELAG
1548,1579,Fræna,Hustadvika,32,9800,370,362,27,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
5014,5014,Frøya,Frøya,null,5068,241,230,22,50,TRØNDELAG,50,TRØNDELAG
1241,4624,Fusa,Bjørnafjorden,22,3861,378,354,11,12,HORDALAND,46,VESTLAND
0831,3823,Fyresdal,Fyresdal,null,1286,1280,1107,1,8,TELEMARK,38,VESTFOLD OG TELEMARK
0729,3811,Færder,Færder,3,26700,100,100,268,7,VESTFOLD,38,VESTFOLD OG TELEMARK
1432,4647,Førde,Sunnfjord,25,13092,586,553,24,14,SOGN OG FJORDANE,46,VESTLAND
2023,5439,Gamvik,Gamvik,null,1169,1416,1355,1,20,FINNMARK,54,TROMS OG FINNMARK
1430,4647,Gaular,Sunnfjord,25,3027,582,540,6,14,SOGN OG FJORDANE,46,VESTLAND
0522,3441,Gausdal,Gausdal,null,6112,1191,1146,5,5,OPPLAND,34,INNLANDET
1838,1838,Gildeskål,Gildeskål,null,1978,665,622,3,18,NORDLAND,18,NORDLAND
1532,1532,Giske,Giske,null,8398,41,40,211,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1557,1557,Gjemnes,Gjemnes,null,2641,382,371,7,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
0234,3032,Gjerdrum,Gjerdrum,null,6823,83,82,83,2,AKERSHUS,30,VIKEN
0911,4211,Gjerstad,Gjerstad,null,2454,322,308,8,9,AUST-AGDER,42,AGDER
1122,1122,Gjesdal,Gjesdal,null,11899,618,558,21,11,ROGALAND,11,ROGALAND
0502,3407,Gjøvik,Gjøvik,null,30676,672,630,49,5,OPPLAND,34,INNLANDET
1445,4650,Gloppen,Gloppen,null,5836,1031,964,6,14,SOGN OG FJORDANE,46,VESTLAND
0617,3041,Gol,Gol,null,4576,533,514,9,6,BUSKERUD,30,VIKEN
0534,3446,Gran,Gran,null,13642,757,657,21,5,OPPLAND,34,INNLANDET
1825,1825,Grane,Grane,null,1493,2004,1882,1,18,NORDLAND,18,NORDLAND
1234,4621,Granvin,Voss,24,937,211,204,5,12,HORDALAND,46,VESTLAND
1919,5414,Gratangen,Gratangen,null,1105,313,305,4,19,TROMS,54,TROMS OG FINNMARK
0904,4202,Grimstad,Grimstad,null,23246,304,272,85,9,AUST-AGDER,42,AGDER
5045,5045,Grong,Grong,null,2374,1136,1098,2,50,TRØNDELAG,50,TRØNDELAG
0423,3417,Grue,Grue,null,4646,837,778,6,4,HEDMARK,34,INNLANDET
1411,4635,Gulen,Gulen,null,2322,597,575,4,14,SOGN OG FJORDANE,46,VESTLAND
2011,5430,Guovdageaidnu - Kautokeino,Guovdageaidnu - Kautokeino,null,2924,9707,8969,0,20,FINNMARK,54,TROMS OG FINNMARK
1940,5426,Gáivuotna - Kåfjord - Kaivuono,Gáivuotna - Kåfjord - Kaivuono,null,2097,991,950,2,19,TROMS,54,TROMS OG FINNMARK
1866,1866,Hadsel,Hadsel,null,8091,567,551,15,18,NORDLAND,18,NORDLAND
0101,3001,Halden,Halden,null,31177,642,595,52,1,ØSTFOLD,30,VIKEN
1571,5055,Halsa,Hemne,null,1574,301,292,5,15,MØRE OG ROMSDAL,50,TRØNDELAG
0403,3403,Hamar,Hamar,null,31144,351,338,92,4,HEDMARK,34,INNLANDET
1849,1875,Hamarøy - Hábmer,Hamarøy,44,1747,1034,925,2,18,NORDLAND,18,NORDLAND
2004,5406,Hammerfest,Hammerfest,47,10536,848,819,13,20,FINNMARK,54,TROMS OG FINNMARK
1534,1507,Haram,Ålesund,30,9383,261,254,37,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1517,1517,Hareid,Hareid,null,5155,82,77,67,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1903,5402,Harstad - Hárstták,Harstad - Hárstták,null,24827,445,428,58,19,TROMS,54,TROMS OG FINNMARK
2015,5433,Hasvik,Hasvik,null,1045,556,534,2,20,FINNMARK,54,TROMS OG FINNMARK
1826,1826,Hattfjelldal,Hattfjelldal,null,1359,2684,2411,1,18,NORDLAND,18,NORDLAND
1106,1106,Haugesund,Haugesund,null,37250,73,68,545,11,ROGALAND,11,ROGALAND
5011,5055,Hemne,Heim,34,4228,670,635,7,50,TRØNDELAG,50,TRØNDELAG
1832,1832,Hemnes,Hemnes,null,4501,1590,1430,3,18,NORDLAND,18,NORDLAND
0618,3042,Hemsedal,Hemsedal,null,2481,754,712,3,6,BUSKERUD,30,VIKEN
1515,1515,Herøy (Møre og Romsdal),Herøy (Møre og Romsdal),null,8927,120,118,76,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
